epoch,train_loss,train_weighted_bce,val_loss,val_macro_sensitivity_at_target,val_macro_specificity_at_target,val_min_patient_sensitivity,val_aggregate_sensitivity_at_target,val_aggregate_specificity_at_target,val_pr_auc,val_roc_auc,val_threshold_logit,sampled_random_negatives,sampled_hard_negatives,hard_bank_size,hard_bank_recordings,learning_rate
1,0.1410150811593031,0.1410150811593031,0.04278788689929713,0.28066733034894015,0.9729683670135323,0.005917159763313609,0.5216576426488962,0.9700002206490136,0.18683547397222044,0.8322183746441982,-2.1966960430145264,205960,0,128466,502,0.001
2,0.13592678974035483,0.13592678974035483,0.040137386752637894,0.29995865203455624,0.9729582148310216,0.0029585798816568047,0.5597667638483965,0.9700002206490136,0.26239595381263614,0.8395203404879303,-2.4298408031463623,102980,102980,128512,502,0.001
3,0.1390967460004166,0.1390967460004166,0.03821853966371311,0.3187348890991275,0.9730336057298482,0.0,0.5870470637234486,0.9700002206490136,0.308181330550344,0.8560796218069827,-2.632594108581543,102980,102980,128512,502,0.001
4,0.13872393711906517,0.13872393711906517,0.039447839391437506,0.29085461999369283,0.972951035610651,0.0,0.5439400249895877,0.9700002206490136,0.25559257136779223,0.8346307431829412,-2.787226915359497,102980,102980,128512,502,0.001
5,0.13897716043620092,0.13897716043620092,0.03770933216228328,0.2995401030169242,0.9732235259345049,0.0,0.5670553935860059,0.9700002206490136,0.3054817335684944,0.8380612406533808,-2.870676279067993,102980,102980,128512,502,0.001
6,0.13714179380683442,0.13714179380683442,0.03864240586151915,0.2596979561447213,0.9725918071805778,0.0029585798816568047,0.4789670970428988,0.9700002206490136,0.20954975196569772,0.8119418072762867,-2.9549107551574707,102980,102980,128512,502,0.001
7,0.13719217901850098,0.13719217901850098,0.037869154768073204,0.2722840653431586,0.9725770010634832,0.005917159763313609,0.509579341940858,0.9700002206490136,0.24546265382280852,0.8198963305779202,-2.964299440383911,102980,102980,128512,502,0.001
8,0.13583672350733042,0.13583672350733042,0.03786043389780389,0.26395861595810655,0.9728122040618187,0.005917159763313609,0.49625156184922947,0.9700002206490136,0.22853291591014074,0.8094635062984901,-2.9133732318878174,102980,102980,128512,502,0.001
