epoch,train_loss,val_pr_auc,val_roc_auc
0,1.3261140910968272,0.4137866204173138,0.87470465164425
1,1.2971233499078885,0.41622272743081506,0.8642165636833433
2,1.265012749366327,0.4431091448659228,0.8576785878904342
3,1.2279133888742957,0.44540489539651745,0.8545254797496354
4,1.1939227912647647,0.44423971495775777,0.8530173624442825
5,1.1647483890546135,0.44745617497373363,0.8522360167842018
6,1.1398828447598515,0.4523647941124641,0.8518972894602219
7,1.1191703227541583,0.4577708409478603,0.8518766288425319
8,1.1017343962909407,0.4637162105950867,0.8520334623812728
9,1.0837867007474984,0.4694069192111873,0.8523233969398807
10,1.0680572726383841,0.47621848275607215,0.8527453840544752
11,1.0506549232656355,0.4849422210744219,0.8531777725186918
12,1.035543147933407,0.49704611955353334,0.8535931356932538
13,1.01954862663836,0.5073558212668443,0.8538539239358465
14,1.0075041016520259,0.5173085259085548,0.8540355776522531
15,0.9934393376525824,0.5264723728165516,0.8540735330246132
16,0.9774065045785396,0.535444458355653,0.853959421939336
17,0.9667414686881163,0.5415616247190513,0.853635108544036
18,0.9542557344474317,0.5414234779828759,0.8531585474146333
19,0.9423485880005565,0.5348120816028129,0.8525441377817154
20,0.9306608508169641,0.5241935131333231,0.8516684499698121
21,0.9206136539422344,0.5129768606017584,0.8507579913721024
22,0.911063340580823,0.4989585104988641,0.8496579861826963
23,0.9043983061058641,0.4874564202414415,0.8487639159573303
24,0.8960049041305782,0.4703924853660243,0.847385817971933
25,0.8876216932344856,0.45837888311494934,0.846377328001362
26,0.8809039077707331,0.4460138197967905,0.8454167636087477
27,0.8754521900184283,0.43037495259641534,0.8440740733264673
28,0.870009580715702,0.4174769657637001,0.8429715841595491
29,0.8641177819071014,0.404351873675825,0.8417473604970792
